rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
7,8,4096,4096,512,4,NCCL,0.16034560203552245,107.14275269111545
7,8,4096,4096,512,4,TK,0.14807039499282837,116.0250108391491
0,8,4096,4096,512,8,NCCL,0.15959680080413818,107.64544838892874
0,8,4096,4096,512,8,TK,0.15181440114974976,113.16363305384824
1,8,4096,4096,512,8,NCCL,0.15922559499740602,107.89640437066592
1,8,4096,4096,512,8,TK,0.1518847942352295,113.11118582017441
2,8,4096,4096,512,8,NCCL,0.15905280113220216,108.01362227956216
2,8,4096,4096,512,8,TK,0.15184639692306517,113.13978818150284
3,8,4096,4096,512,8,NCCL,0.15884159803390502,108.15724216230139
3,8,4096,4096,512,8,TK,0.1518272042274475,113.15409034512277
4,8,4096,4096,512,8,NCCL,0.15909119844436645,107.98755274954907
4,8,4096,4096,512,8,TK,0.15187840461730956,113.11594447734943
5,8,4096,4096,512,8,NCCL,0.15776000022888184,108.89876495356903
5,8,4096,4096,512,8,TK,0.15146880149841307,113.4218335000161
6,8,4096,4096,512,8,NCCL,0.15616639852523803,110.0100235789427
6,8,4096,4096,512,8,TK,0.15012480020523072,114.43724927869319
7,8,4096,4096,512,8,NCCL,0.15949440002441406,107.7145603944104
7,8,4096,4096,512,8,TK,0.1518847942352295,113.11118582017441
0,8,4096,4096,512,16,NCCL,0.15909759998321532,107.98320770277152
0,8,4096,4096,512,16,TK,0.15118720531463622,113.63308917740038
1,8,4096,4096,512,16,NCCL,0.1592512011528015,107.87905560295219
1,8,4096,4096,512,16,TK,0.15118080377578735,113.63790081099881
2,8,4096,4096,512,16,NCCL,0.1588863968849182,108.1267466619148
2,8,4096,4096,512,16,TK,0.1512063980102539,113.61866567865047
3,8,4096,4096,512,16,NCCL,0.15913599729537964,107.95715285028601
3,8,4096,4096,512,16,TK,0.15096319913864137,113.80170320994839
4,8,4096,4096,512,16,NCCL,0.15998079776763915,107.38707034673342
4,8,4096,4096,512,16,TK,0.15127040147781373,113.57059289962754
5,8,4096,4096,512,16,NCCL,0.15777280330657958,108.88992794668526
5,8,4096,4096,512,16,TK,0.15102720260620117,113.75347545035302
6,8,4096,4096,512,16,NCCL,0.1578879952430725,108.81048402414105
6,8,4096,4096,512,16,TK,0.14824960231781006,115.88475729716062
7,8,4096,4096,512,16,NCCL,0.15978879928588868,107.51610413732669
7,8,4096,4096,512,16,TK,0.1513216018676758,113.53216574473653
0,8,4096,4096,512,32,NCCL,0.16104960441589355,106.67439542189005
0,8,4096,4096,512,32,TK,0.14972800016403198,114.74052391789701
1,8,4096,4096,512,32,NCCL,0.15991679430007935,107.43004985306584
1,8,4096,4096,512,32,TK,0.149452805519104,114.95180116778711
2,8,4096,4096,512,32,NCCL,0.1599295973777771,107.42144959834192
2,8,4096,4096,512,32,TK,0.14986879825592042,114.63272798560207
3,8,4096,4096,512,32,NCCL,0.15964159965515137,107.61524077127119
3,8,4096,4096,512,32,TK,0.14963200092315673,114.81413787163545
4,8,4096,4096,512,32,NCCL,0.15953919887542725,107.68431398113343
4,8,4096,4096,512,32,TK,0.14935679435729982,115.0256957370238
5,8,4096,4096,512,32,NCCL,0.157695996761322,108.94296327637466
5,8,4096,4096,512,32,TK,0.14888960123062134,115.38662903253653
6,8,4096,4096,512,32,NCCL,0.1577664017677307,108.8943462708417
6,8,4096,4096,512,32,TK,0.14799360036849976,116.08521680141997
7,8,4096,4096,512,32,NCCL,0.16037119626998902,107.12565338152899
7,8,4096,4096,512,32,TK,0.14965759515762328,114.79450251693349
0,8,4096,4096,512,64,NCCL,0.1581439971923828,108.63434268137676
0,8,4096,4096,512,64,TK,0.1498304009437561,114.66210512544141
1,8,4096,4096,512,64,NCCL,0.1585088014602661,108.38432330400612
1,8,4096,4096,512,64,TK,0.14981119632720946,114.67680390507438
2,8,4096,4096,512,64,NCCL,0.15777920484542846,108.88550998105612
2,8,4096,4096,512,64,TK,0.14958080053329467,114.85343789275946
3,8,4096,4096,512,64,NCCL,0.15786880254745483,108.82371251809418
3,8,4096,4096,512,64,TK,0.14986239671707152,114.63762464999307
4,8,4096,4096,512,64,NCCL,0.15829119682312012,108.5333204170372
4,8,4096,4096,512,64,TK,0.14986879825592042,114.63272798560207
5,8,4096,4096,512,64,NCCL,0.15694719552993774,109.46273443110317
5,8,4096,4096,512,64,TK,0.1493631958961487,115.02076586487249
6,8,4096,4096,512,64,NCCL,0.1567744016647339,109.58338224590769
